"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ctrl1_neg"	"Ctrl2_neg"	"Ctrl3_neg"	"Ctrl4_neg"	"Ctrl5_neg"	"Ab1_neg"	"Ab2_neg"	"Ab3_neg"	"Ab4_neg"	"Ab5_neg"	"Sort1_neg"	"Sort2_neg"	"Sort3_neg"	"Sort4_neg"	"Sort5_neg"	"Ab+Sort1_neg"	"Ab+Sort2_neg"	"Ab+Sort3_neg"	"Ab+Sort4_neg"	"Ab+Sort5_neg"
"CSID 4945830"	"C20H32O4"	"CCCCC[C@H]1/C=C/[C@@H]2[C@@H](C/C=C/CCCC(=O)O1)[C@H](C[C@H]2O)O"	"InChI=1/C20H32O4/c1-2-3-6-9-15-12-13-17-16(18(21)14-19(17)22)10-7-4-5-8-11-20(23)24-15/h4,7,12-13,15-19,21-22H,2-3,5-6,8-11,14H2,1H3/b7-4+,13-12+/t15-,16+,17+,18-,19+/m0/s1"	"PGF2 lactone"	"336.2297"	""	""	"negative"	"5.1238227"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.202157358"	"0.147575564"	"0.143354185"	"0.113113048"	"0.115466"	"0.098791519"	"0.111235358"	"0.07370385"	"0.070760707"	"0.049207728"	"0.101169923"	"0.040308729"	"0.029655951"	"0.026344335"	"0.03705261"	"0.051145787"	"0.025992611"	"0.035854362"	"0.028195557"	"0.016463841"
"CHEBI:24644"	""	""	""	"HpETE"	"336.2297"	""	""	"negative"	"5.1238227"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.202157358"	"0.147575564"	"0.143354185"	"0.113113048"	"0.115466"	"0.098791519"	"0.111235358"	"0.07370385"	"0.070760707"	"0.049207728"	"0.101169923"	"0.040308729"	"0.029655951"	"0.026344335"	"0.03705261"	"0.051145787"	"0.025992611"	"0.035854362"	"0.028195557"	"0.016463841"
"CHEBI:72868"	""	""	""	"DiHETE"	"336.2297"	""	""	"negative"	"5.1238227"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.202157358"	"0.147575564"	"0.143354185"	"0.113113048"	"0.115466"	"0.098791519"	"0.111235358"	"0.07370385"	"0.070760707"	"0.049207728"	"0.101169923"	"0.040308729"	"0.029655951"	"0.026344335"	"0.03705261"	"0.051145787"	"0.025992611"	"0.035854362"	"0.028195557"	"0.016463841"
"CHEBI:15647"	"C20H32O4"	"CCCCCC=C/C[C@@H](O)C=CC=CC=C/[C@@H](O)CCCC(O)=O"	"InChI=1S/C20H32O4/c1-2-3-4-5-6-9-13-18(21)14-10-7-8-11-15-19(22)16-12-17-20(23)24/h6-11,14-15,18-19,21-22H,2-5,12-13,16-17H2,1H3,(H,23,24)/b8-7+,9-6-,14-10+,15-11-/t18-,19-/m1/s1"	"LTB4"	"336.2297"	""	""	"negative"	"5.1238227"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.202157358"	"0.147575564"	"0.143354185"	"0.113113048"	"0.115466"	"0.098791519"	"0.111235358"	"0.07370385"	"0.070760707"	"0.049207728"	"0.101169923"	"0.040308729"	"0.029655951"	"0.026344335"	"0.03705261"	"0.051145787"	"0.025992611"	"0.035854362"	"0.028195557"	"0.016463841"
"CHEBI:36190"	"C20H32O4"	"[H][C@@]1(CC=C/CCCCC)O[C@@]1([H])C=CC(O)CC=C/CCCC(O)=O"	"InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/b9-7-,10-6-,16-15+/t17?,18-,19-/m0/s1"	"HxA3"	"336.2297"	""	""	"negative"	"5.1238227"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.202157358"	"0.147575564"	"0.143354185"	"0.113113048"	"0.115466"	"0.098791519"	"0.111235358"	"0.07370385"	"0.070760707"	"0.049207728"	"0.101169923"	"0.040308729"	"0.029655951"	"0.026344335"	"0.03705261"	"0.051145787"	"0.025992611"	"0.035854362"	"0.028195557"	"0.016463841"
"CHEBI:34784"	"C20H32O4"	"C(C([C@H]1[C@H](C/C=CCCCCC)O1)O)=CC/C=CCCCC(=O)O"	"InChI=1S/C20H32O4/c1-2-3-4-5-9-12-15-18-20(24-18)17(21)14-11-8-6-7-10-13-16-19(22)23/h6-7,9,11-12,14,17-18,20-21H,2-5,8,10,13,15-16H2,1H3,(H,22,23)/b7-6-,12-9-,14-11-/t17?,18-,20-/m0/s1"	"HxB3"	"336.2297"	""	""	"negative"	"5.1238227"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.202157358"	"0.147575564"	"0.143354185"	"0.113113048"	"0.115466"	"0.098791519"	"0.111235358"	"0.07370385"	"0.070760707"	"0.049207728"	"0.101169923"	"0.040308729"	"0.029655951"	"0.026344335"	"0.03705261"	"0.051145787"	"0.025992611"	"0.035854362"	"0.028195557"	"0.016463841"
"CHEBI:64005"	""	""	""	"DHET"	"338.2453"	""	""	"negative"	"5.126234"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"39621"	"42481"	"42481"	"42481"	"15102"
"CHEBI:64005"	""	""	""	"DiHETrE"	"338.2453"	""	""	"negative"	"5.126234"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"39621"	"42481"	"42481"	"42481"	"15102"
""	""	""	""	"PGE1 deoxy"	"338.2453"	""	""	"negative"	"5.126234"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"39621"	"42481"	"42481"	"42481"	"15102"
""	""	""	""	"LTB4 keto-tetrahydro"	"338.2453"	""	""	"negative"	"5.126234"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"39621"	"42481"	"42481"	"42481"	"15102"
""	""	""	""	"LTB3"	"338.2453"	""	""	"negative"	"5.126234"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"39621"	"42481"	"42481"	"42481"	"15102"
""	""	""	""	"PGF2 deoxy"	"338.2453"	""	""	"negative"	"5.126234"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"39621"	"42481"	"42481"	"42481"	"15102"
"CHEBI:88427"	"C16H22O4"	"O1C(CCC2=C1C(=C(C(O)=C2C)C)C)(CCC(O)=O)C"	"InChI=1S/C16H22O4/c1-9-10(2)15-12(11(3)14(9)19)5-7-16(4,20-15)8-6-13(17)18/h19H,5-8H2,1-4H3,(H,17,18)"	"alpha-CEHC"	"278.1519"	""	""	"negative"	"5.4145665"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"494645"	"115769"	"118093"	"279333"	"136401"	"463744"	"163632"	"152646"	"118702"	"140512"	"51830"	"73947"	"53587"	"54057"	"100938"	"324018"	"92402"	"179035"	"118900"	"43258"
"CHEBI:36221"	"C25H40N2O7S"	"CCCCC[C@H](O)C=CC=C/C=C/C=C/[C@@H](SC[C@H](N)C(=O)NCC(O)=O)[C@@H](O)CCCC(O)=O"	"InChI=1S/C25H40N2O7S/c1-2-3-8-12-19(28)13-9-6-4-5-7-10-15-22(21(29)14-11-16-23(30)31)35-18-20(26)25(34)27-17-24(32)33/h4-7,9-10,13,15,19-22,28-29H,2-3,8,11-12,14,16-18,26H2,1H3,(H,27,34)(H,30,31)(H,32,33)/b6-4-,7-5+,13-9+,15-10+/t19-,20-,21-,22+/m0/s1"	"Lipoxin D4"	"512.2542"	""	""	"negative"	"5.6296425"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"18721"	"22497"	"22108"	"18214"	"23474"	"23813"	"17742"	"22229"	"20547"	"23999"	"19225"	"17063"	"19203"	"24421"	"19722.4427"	"17299"	"16518"	"16779"	"17902"	"16698"
"CHEBI:27432"	"C18H30O2"	"CCC=C/CC=C/CC=C/CCCCCCCC(O)=O"	"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-"	"Linolenic Acid"	"278.2241"	""	""	"negative"	"5.659107"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"14423"	"8994"	"10628.52881"	"12622"	"5648"	"18707"	"10576"	"16240"	"8172"	"8692"	"36133"	"9029"	"13593"	"8582"	"14398"	"19653.7435"	"14015"	"21754"	"37335"	"25740.42843"
""	""	""	""	"N-linoleoyl taurine"	"387.2435"	""	""	"negative"	"6.109919"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0.080795944"	"0.041625559"	"0.059606867"	"0.039851055"	"0.040832112"	"0.046220079"	"0.018670415"	"0.023494624"	"0.02163936"	"0.038147789"	"0.031042616"	"0.003712935"	"0.003662799"	"0.005063538"	"0.008935731"	"0.016464473"	"0.002612104"	"0.00599896"	"0.00460817"	"0.003197503"
""	""	""	""	"LysoPG(20:3)"	"534.2958"	""	""	"negative"	"6.1428986"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"41482"	"49062"	"72673"	"32903"	"31852"	"60831"	"48709"	"50917.89748"	"37737"	"52833"	"0"	"8033"	"10779.04194"	"23223"	"15980.00624"	"0"	"0"	"0"	"0"	"7686"
"CHEBI:132556"	"C25H52NO7P"	"[C@](CO*)(O*)([H])COP(OCCN)(=O)O"	""	"LysoPE(20:0)"	"509.3475"	""	""	"negative"	"6.3035226"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6126.783774"	"101836"	"6564.116879"	"68214.59783"	"12250"	"136523.3334"	"104143"	"148584"	"105802"	"104977.1546"
"CHEBI:64576"	"C23H48NO7P"	"[H][C@@](COC)(COP(O)(=O)OCCN)OC"	""	"LysoPE(18:0)"	"481.3157"	""	""	"negative"	"6.3285527"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"789360.3561"	"666054"	"887609"	"1028175"	"844535"	"688130"	"1032478"	"1048623"	"863952"	"1175260"	"666556"	"415826"	"408122"	"170219"	"489116"	"702615"	"201062.0721"	"221489"	"192991"	"92877"
"CHEBI:34004"	"C18H34O3"	"CCCCCCCCCCC[C@@H]1O[C@@H]1CCCCC(O)=O"	"InChI=1S/C18H34O3/c1-2-3-4-5-6-7-8-9-10-13-16-17(21-16)14-11-12-15-18(19)20/h16-17H,2-15H2,1H3,(H,19,20)/t16-,17+/m0/s1"	"6,7-Epoxyoctadecanoic acid"	"298.2506"	""	""	"negative"	"6.388516"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"23985"	"23430"	"27285"	"31247"	"49650"	"28601"	"35276"	"41434"	"28960"	"32061"	"66098"	"60509"	"77176"	"67756"	"60161"	"46042"	"59168"	"76757"	"82051"	"35480"
""	""	""	""	"2-hydroxy-oleic acid"	"298.2506"	""	""	"negative"	"6.388516"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"23985"	"23430"	"27285"	"31247"	"49650"	"28601"	"35276"	"41434"	"28960"	"32061"	"66098"	"60509"	"77176"	"67756"	"60161"	"46042"	"59168"	"76757"	"82051"	"35480"
"CSID 23255373"	"C22H38O3"	"CCCCCc1c(c(c(o1)CCCCCCCCCCC(=O)O)C)C"	"InChI=1/C22H38O3/c1-4-5-12-15-20-18(2)19(3)21(25-20)16-13-10-8-6-7-9-11-14-17-22(23)24/h4-17H2,1-3H3,(H,23,24)"	"12,15-epoxy-13,14-dimethyleicosa-12,14-dienoic acid"	"350.2816"	""	""	"negative"	"6.561163"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"2920532"	"1579993"	"1405510"	"1362122"	"919934"	"3183163"	"1621421"	"1013293"	"1033615"	"1348791"	"1372218"	"430083"	"455662"	"443889"	"539882"	"1110454"	"507804"	"473837"	"337532"	"199677"
"CHEBI:36005"	"C22H32O2"	""	""	"Docosahexaenoic acid"	"328.2397"	""	""	"negative"	"7.034946"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"53821"	"44016.07926"	"14325"	"72223"	"72223"	"52186"	"13481"	"13481"	"54452"	"31948.66576"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	"LysoPE(P-20:0)"	"493.3518"	""	""	"negative"	"7.055155"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"6866123"	"4004995"	"3907021"	"4910403"	"4485637"	"5408011"	"5281324"	"3385138"	"3193551"	"5288962"	"4273028"	"2373852"	"5773457"	"2186376"	"2402838"	"3935960"	"1482287"	"1357541"	"937683"	"738213"
"CHEBI:138566"	"C47H81O13P"	"[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)OP(OC[C@@H](COC(*)=O)OC(=O)*)(=O)O)O"	""	"PI(38:5)"	"884.5443"	""	""	"negative"	"8.992011"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"124528"	"153240"	"152675"	"153240"	"153240"	"123601"	"122215.8557"	"121450"	"112690"	"123053"	"94088"	"59342"	"77970"	"51887"	"77124"	"123701"	"45631"	"100122"	"61166.64095"	"51267"
""	""	""	""	"PS(38:7)"	"805.4857"	""	""	"negative"	"9.251335"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"710950"	"574847"	"538835"	"515348"	"322422"	"873159"	"541632"	"396790"	"456997"	"453452"	"316357"	"139491"	"178047"	"190993"	"188644"	"328949"	"175304"	"208429"	"138324"	"66022"
"CHEBI:132692"	"C49H88O13P-"	"[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)OP(OC[C@@H](COC(=O)*)OC(=O)*)(=O)[O-])O"	""	"PI(40:3)"	"916.6029"	""	""	"negative"	"9.409106"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"597445"	"278434"	"225887"	"228804"	"129714"	"614886"	"279270"	"190702"	"121110"	"230060"	"339422"	"54774"	"67286"	"59713"	"77060"	"213078"	"64667"	"105480"	"80451"	"21330"
""	""	""	""	"Cer(t34:0)"	"555.5207"	""	""	"negative"	"10.429648"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"864507"	"848432"	"805611"	"682413"	"952408"	"1001383"	"620123"	"594368"	"594871"	"597940"	"651220"	"601287"	"563660"	"322408"	"335956"	"518109"	"285712.3565"	"350395"	"260155"	"167557"
""	""	""	""	"Cer(d34:0(2OH))"	"555.5207"	""	""	"negative"	"10.429648"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"864507"	"848432"	"805611"	"682413"	"952408"	"1001383"	"620123"	"594368"	"594871"	"597940"	"651220"	"601287"	"563660"	"322408"	"335956"	"518109"	"285712.3565"	"350395"	"260155"	"167557"
""	""	""	""	"PG(40:10)"	"814.4776"	""	""	"negative"	"10.542658"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"99188"	"49791"	"49916"	"49037"	"36967"	"95676"	"48539.31555"	"36766"	"48299"	"48694"	"46058"	"16472"	"28388"	"20272.63782"	"26599"	"42723"	"21333"	"35878.44705"	"15344.5863"	"10606.64645"
"CHEBI:132598"	"C45H72NO8P"	"[C@@H](COC(=O)*)(COP(OCC[NH3+])(=O)[O-])OC(=O)*"	""	"PE(40:9)"	"785.5"	""	""	"negative"	"10.646279"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus"	""	""	""	""	""	""	""	""	""	"183996"	"111202"	"104117"	"80337.84742"	"60431"	"0"	"100367"	"0"	"0"	"0"	"89915"	"22147.10249"	"15943.68042"	"34350"	"17971.01149"	"44335.42393"	"51266"	"41754"	"28212"	"39674.31788"
